1	7202234546	42857
2	42915	42857
3	85812	42857
4	128709	42857
5	171603	42857
6	214497	42857
7	257391	42857
8	300286	42857
9	343180	42857
10	386074	42857
11	428969	42857
12	471863	42857
13	514758	42857
14	557652	42857
15	600552	42857
16	643448	42857
17	686343	42857
18	729238	42857
19	772133	42857
20	815036	42857
21	857932	42857
22	900826	42857
23	943721	42857
24	986616	42857
25	1029510	42857
26	1072404	42857
27	1115301	42857
28	1158197	42857
29	1201091	42857
30	1243986	42857
31	1286880	42857
32	1329777	42857
33	1372672	42857
34	1415567	42857
35	1458461	42857
36	1501355	42857
37	1544250	42857
