1	0	30
2	38	99
3	1073	27
4	36	80
5	1076	13
6	1103	138
7	1090	124
8	1105	110
9	1104	97
10	1099	21
11	20	4
12	24	88
13	1076	50
14	36	68
15	1073	325
16	1103	144
17	1103	53
18	36	19
19	1074	100
20	1103	10
21	1060	6
22	34	385
23	1094	20
24	34	135
25	1061	23
26	27	72
27	36	23
28	19	91
29	1069	156
30	33	379
31	1103	227
32	1091	92
33	1095	132
34	1095	8
35	34	159
36	1071	57
37	1094	260
38	1094	20
39	33	127
40	1074	22
41	1071	110
42	1094	61
43	1116	43
44	30	8
45	26	127
46	37	131
47	1074	91
48	1103	132
49	1103	320
50	1102	121
51	1104	15
52	37	47
53	1072	57
54	36	157
55	37	68
56	1103	79
57	1103	98
58	37	86
59	1075	285
60	1103	27
61	37	83
62	1102	185
63	1103	358
64	1108	27
65	37	277
66	1073	43
67	37	12
68	17	180
69	37	87
70	1073	135
71	1103	86
72	1102	24
73	37	59
74	1073	54
75	36	35
76	1073	3
77	28	13
78	15	360
79	1051	207
80	1100	72
81	1098	219
82	1102	6
83	21	31
84	18	109
85	1097	8
86	38	19
87	1070	2
88	36	132
89	37	8
90	16	68
91	1055	58
92	1107	179
93	1103	190
94	1103	29
95	36	43
96	37	628
97	37	125
98	1074	110
99	38	278
100	1072	125
101	1109	66
102	1107	114
103	1103	16
104	36	80
105	36	258
106	37	35
107	1068	132
108	1103	60
109	1108	60
110	1103	69
111	27	5
112	28	7
113	15	189
114	1050	51
115	1073	22
116	28	9
117	1067	254
118	17	35
119	1089	145
120	1086	35
121	56	3
122	27	28
123	1041	36
124	37	97
125	1074	17
126	33	83
127	1072	177
128	1095	57
129	1094	6
130	33	147
131	1072	34
132	36	18
133	17	110
134	33	98
135	1079	35
136	32	16
137	16	148
138	34	57
139	1071	102
140	1094	2
141	33	111
142	1071	35
143	33	279
144	1072	3
145	18	120
146	1095	124
147	1103	333
148	1122	40
149	43	94
150	1073	313
151	1095	31
152	33	402
153	1072	7
154	36	102
155	1073	152
156	1104	33
157	33	98
158	1071	118
159	1094	131
160	1095	14
161	46	22
162	18	164
163	1062	340
164	1105	49
165	28	260
166	1077	231
167	1095	139
168	1104	91
169	1094	20
170	34	122
171	1059	5
172	32	168
173	1073	10
174	1093	191
175	1085	254
176	1108	111
177	1090	324
178	1100	186
179	1077	103
180	1048	55
181	1064	166
182	1068	155
183	1089	147
184	1097	57
185	1079	196
186	1070	15
187	28	14
188	1057	1
189	34	68
190	1060	277
191	1082	12
192	26	89
193	1090	179
194	1086	33
195	30	6
196	1029	170
197	1084	54
198	1066	33
199	1066	78
200	1094	34
201	37	1
202	18	473
203	1060	241
204	34	93
205	1091	43
206	44	91
207	1081	87
208	1096	632
209	1095	43
210	34	67
211	1102	88
212	1064	19
213	45	12
214	19	99
215	1024	8
216	28	40
217	1055	68
218	1071	6
219	34	12
220	17	47
221	1051	39
222	1083	39
223	1084	150
224	1101	30
225	1071	298
226	1106	142
227	1096	5
228	37	24
229	18	69
230	1059	26
231	1049	130
232	1076	56
233	1091	86
234	1095	69
